model,strategy,mean_predicted,fraction_positive
SVM,quantile,0.0,0.0
SVM,quantile,0.0,0.0
SVM,quantile,0.0021,0.0
SVM,quantile,0.5792,0.5725
SVM,quantile,1.0,0.9975
SVM,quantile,1.0,1.0
SVM,uniform,0.0028,0.0
SVM,uniform,0.0933,0.0
SVM,uniform,0.2547,0.0
SVM,uniform,0.3793,0.75
SVM,uniform,0.7132,0.0
SVM,uniform,0.7539,1.0
SVM,uniform,0.8526,1.0
SVM,uniform,0.999,0.9992
RF,quantile,0.0,0.0
RF,quantile,0.0017,0.0
RF,quantile,0.0046,0.0
RF,quantile,0.0153,0.0
RF,quantile,0.5825,0.5875
RF,quantile,0.9906,1.0
RF,quantile,0.9978,1.0
RF,quantile,1.0,1.0
RF,uniform,0.0056,0.0
RF,uniform,0.0904,0.0
RF,uniform,0.1597,0.0
RF,uniform,0.2544,0.0
RF,uniform,0.2973,0.0
RF,uniform,0.4517,0.5
RF,uniform,0.5217,1.0
RF,uniform,0.5743,0.4444
RF,uniform,0.7142,1.0
RF,uniform,0.7802,0.9333
RF,uniform,0.8415,1.0
RF,uniform,0.9105,1.0
RF,uniform,0.997,1.0
LGBM,quantile,0.0,0.0
LGBM,quantile,0.0,0.0
LGBM,quantile,0.0,0.0
LGBM,quantile,0.0,0.0
LGBM,quantile,0.0,0.0
LGBM,quantile,0.5767,0.57
LGBM,quantile,1.0,1.0
LGBM,quantile,1.0,1.0
LGBM,quantile,1.0,1.0
LGBM,quantile,1.0,1.0
LGBM,quantile,1.0,1.0
LGBM,quantile,1.0,1.0
LGBM,quantile,1.0,1.0
LGBM,quantile,1.0,1.0
LGBM,quantile,1.0,1.0
LGBM,uniform,0.0,0.0
LGBM,uniform,0.563,0.375
LGBM,uniform,1.0,0.9995
SVM_cal,quantile,0.0,0.0
SVM_cal,quantile,0.0,0.0
SVM_cal,quantile,0.0,0.0
SVM_cal,quantile,0.0,0.0
SVM_cal,quantile,0.0019,0.0
SVM_cal,quantile,0.565,0.5725
SVM_cal,quantile,0.9992,0.9975
SVM_cal,quantile,1.0,1.0
SVM_cal,quantile,1.0,1.0
SVM_cal,quantile,1.0,1.0
SVM_cal,uniform,0.0023,0.0
SVM_cal,uniform,0.0728,0.0
SVM_cal,uniform,0.1918,0.0
SVM_cal,uniform,0.2876,0.75
SVM_cal,uniform,0.5968,0.0
SVM_cal,uniform,0.642,1.0
SVM_cal,uniform,0.763,1.0
SVM_cal,uniform,0.8922,1.0
SVM_cal,uniform,0.9979,0.9992
RF_cal,quantile,0.0,0.0
RF_cal,quantile,0.9991,0.9992
RF_cal,uniform,0.0,0.0
RF_cal,uniform,0.7857,0.8125
RF_cal,uniform,1.0,1.0
LGBM_cal,quantile,0.0,0.0
LGBM_cal,quantile,0.9993,0.9995
LGBM_cal,uniform,0.0,0.0
LGBM_cal,uniform,0.2727,0.4286
LGBM_cal,uniform,1.0,1.0
HYBRID,quantile,0.0002,0.0
HYBRID,quantile,0.0003,0.0
HYBRID,quantile,0.0003,0.0
HYBRID,quantile,0.0003,0.0
HYBRID,quantile,0.0004,0.0
HYBRID,quantile,0.5767,0.5707
HYBRID,quantile,0.9998,1.0
HYBRID,quantile,0.9998,1.0
HYBRID,quantile,0.9998,1.0
HYBRID,quantile,0.9998,1.0
HYBRID,quantile,0.9998,1.0
HYBRID,quantile,0.9998,1.0
HYBRID,quantile,0.9998,1.0
HYBRID,quantile,0.9998,1.0
HYBRID,quantile,0.9998,1.0
HYBRID,uniform,0.0004,0.0
HYBRID,uniform,0.7679,0.0
HYBRID,uniform,0.9089,1.0
HYBRID,uniform,0.9998,0.9999
