feature,importance_mean,importance_std
F_gain_mean,0.2299237312638674,0.007587090265926735
g_mean,0.014374497258737028,0.00025877854168800617
tau_std,0.01034658958608754,0.0003944535379116737
D_eff_mean,0.00461069063660029,0.00020203255015025304
D_eff_std,0.00200274438998469,9.440164225139509e-05
tau_mean,0.0019015947722605731,0.00010775007172972138
R_mean,0.0006957012976015698,4.222650406002889e-05
tau_max,0.0001438104612518476,3.863305346062937e-05
H_net,0.00011095186962009062,1.4687535820232192e-05
F_gain_min,0.00010584026587068252,4.541023662325219e-05
R_min,9.21471814736341e-05,2.1825948003674085e-05
F_gain_std,4.724925959915804e-05,1.159457267949853e-05
D_eff_min,2.9521015065792076e-05,7.172080522971704e-06
tau_range,2.2785725419494086e-05,8.32438822281316e-06
