n_features,mean_auc,std_auc
12,0.9989693102518163,0.00020935400032527003
13,0.9991046374553947,0.000213729450400106
14,0.9991027130869243,0.0002741173417426129
15,0.9987581609259548,0.0002867605361325317
16,0.9988207730605092,0.0002061808117330022
17,0.9987570784686902,0.00015492215375473731
18,0.9987438384127039,0.00017275124419652011
19,0.9988848384941688,0.00029676502402195516
20,0.9986994777103607,0.0002614817793846316
21,0.998457448284201,0.0002710247265652535
22,0.9983580927391653,0.0002998619654109095
23,0.9980277327956649,0.00032994110287156033
24,0.9982105979141128,0.00028367746219113576
25,0.9982262534534395,0.0002527325186390497
26,0.9980454229537389,0.00025234425742420017
27,0.9978310262560832,0.00020761201762173933
28,0.9978254536057212,0.00019243874874121794
29,0.9978038946652016,0.00027010321025742925
30,0.9976249985567236,0.00019256863399358555
