batch,n_samples,drift_type,drift_factor_tau,drift_factor_g,HYBRID_auc_clean,HYBRID_auc_corrupt,HYBRID_brier_clean,HYBRID_brier_corrupt,HYBRID_ece_clean,HYBRID_ece_corrupt,HYBRID_risk_stable,HYBRID_risk_border,HYBRID_risk_critical,HYBRID_confidence_mean,HYBRID_conf_coverage,HYBRID_conf_singleton,HYBRID_conf_ambiguous,SVM_auc_clean,SVM_auc_corrupt,SVM_brier_clean,SVM_brier_corrupt,SVM_ece_clean,SVM_ece_corrupt,SVM_risk_stable,SVM_risk_border,SVM_risk_critical,SVM_confidence_mean,SVM_conf_coverage,SVM_conf_singleton,SVM_conf_ambiguous,RF_auc_clean,RF_auc_corrupt,RF_brier_clean,RF_brier_corrupt,RF_ece_clean,RF_ece_corrupt,RF_risk_stable,RF_risk_border,RF_risk_critical,RF_confidence_mean,RF_conf_coverage,RF_conf_singleton,RF_conf_ambiguous,LGBM_auc_clean,LGBM_auc_corrupt,LGBM_brier_clean,LGBM_brier_corrupt,LGBM_ece_clean,LGBM_ece_corrupt,LGBM_risk_stable,LGBM_risk_border,LGBM_risk_critical,LGBM_confidence_mean,LGBM_conf_coverage,LGBM_conf_singleton,LGBM_conf_ambiguous,HYBRID_rolling_auc,HYBRID_rolling_ece,HYBRID_rolling_brier,HYBRID_rolling_confidence,HYBRID_rolling_coverage,SVM_rolling_auc,SVM_rolling_ece,SVM_rolling_brier,SVM_rolling_confidence,SVM_rolling_coverage,RF_rolling_auc,RF_rolling_ece,RF_rolling_brier,RF_rolling_confidence,RF_rolling_coverage,LGBM_rolling_auc,LGBM_rolling_ece,LGBM_rolling_brier,LGBM_rolling_confidence,LGBM_rolling_coverage,feature_psi,feature_kl,recalibration_alert,cusum_brier,cusum_confidence,page_hinkley_brier,page_hinkley_confidence
0,100,none,1.0,1.0,1.0,0.9569,0.0,0.0299,0.0002,0.0311,24,0,76,0.9984,0.97,1.0,0.0,1.0,0.9259,0.0001,0.0563,0.0037,0.0618,20,1,79,0.9883,0.94,1.0,0.0,1.0,0.9607,0.0,0.0276,0.0,0.0214,24,0,76,0.9914,0.97,1.0,0.0,1.0,0.9592,0.0,0.0424,0.0,0.0479,24,5,71,0.9853,0.94,1.0,0.0,0.9569,0.0311,0.0299,0.9984,0.97,0.9259,0.0618,0.0563,0.9883,0.94,0.9607,0.0214,0.0276,0.9914,0.97,0.9592,0.0479,0.0424,0.9853,0.94,0.1018,0.051,False,0.0,0.0,0.0,0.0
1,100,none,1.0,1.0,1.0,0.9209,0.0,0.0862,0.0002,0.0888,32,0,68,0.987,0.91,1.0,0.0,1.0,0.9037,0.0001,0.107,0.0033,0.1061,30,0,70,0.9942,0.89,1.0,0.0,1.0,0.9134,0.0,0.0598,0.0,0.0593,27,0,73,0.9807,0.94,1.0,0.0,1.0,0.886,0.0,0.1019,0.0,0.1062,28,5,67,0.9862,0.88,1.0,0.0,0.9389,0.06,0.058,0.9927,0.94,0.9148,0.084,0.0816,0.9912,0.915,0.937,0.0403,0.0437,0.986,0.955,0.9226,0.0771,0.0722,0.9857,0.91,0.0844,0.0427,False,0.0,0.0,0.0101,0.0022
2,100,none,1.0,1.0,1.0,0.9062,0.0,0.0821,0.0002,0.0847,34,0,66,0.9917,0.92,1.0,0.0,1.0,0.9008,0.0001,0.0967,0.0024,0.0966,34,2,64,0.9842,0.9,1.0,0.0,1.0,0.9987,0.0,0.0137,0.0,0.0093,34,0,66,0.9893,0.98,1.0,0.0,1.0,0.9063,0.0,0.0806,0.0,0.0845,31,2,67,0.9945,0.91,1.0,0.0,0.928,0.0682,0.0661,0.9924,0.9333,0.9101,0.0882,0.0867,0.9889,0.91,0.9576,0.03,0.0337,0.9871,0.9633,0.9172,0.0795,0.075,0.9887,0.91,0.0868,0.0435,False,0.0,0.0,0.021,0.0036
3,100,none,1.0,1.0,1.0,0.9859,0.0,0.0301,0.0002,0.03,32,0,68,0.9979,0.97,1.0,0.0,1.0,0.965,0.0014,0.0621,0.0068,0.0633,28,4,68,0.9804,0.92,1.0,0.0,1.0,0.957,0.0,0.0314,0.0,0.0364,28,0,72,0.9936,0.97,1.0,0.0,1.0,0.9349,0.0,0.0812,0.0,0.0885,31,4,65,0.9885,0.9,1.0,0.0,0.9425,0.0586,0.0571,0.9938,0.9425,0.9238,0.082,0.0805,0.9868,0.9125,0.9574,0.0316,0.0331,0.9888,0.965,0.9216,0.0818,0.0765,0.9886,0.9075,0.1078,0.0541,False,0.0,0.0,0.0214,0.0035
4,100,none,1.0,1.0,1.0,0.95,0.0059,0.0708,0.0079,0.0708,52,0,48,0.9952,0.93,1.0,0.0,1.0,0.9068,0.0001,0.0979,0.0019,0.0974,50,2,48,0.9847,0.89,1.0,0.0,1.0,0.9168,0.0062,0.0878,0.0079,0.0892,52,0,48,0.9923,0.91,1.0,0.0,1.0,0.9342,0.0,0.0781,0.0,0.0734,46,6,48,0.9834,0.91,1.0,0.0,0.944,0.0611,0.0598,0.994,0.94,0.9204,0.085,0.084,0.9864,0.908,0.9493,0.0431,0.0441,0.9895,0.954,0.9241,0.0801,0.0768,0.9876,0.908,0.1208,0.0599,False,0.0,0.0,0.0231,0.003
5,100,none,1.0,1.0,1.0,0.9179,0.0,0.0845,0.0003,0.0854,45,0,55,0.9954,0.91,1.0,0.0,1.0,0.8892,0.0001,0.1024,0.0019,0.108,42,1,57,0.9888,0.89,1.0,0.0,1.0,0.9472,0.0005,0.058,0.0021,0.0507,42,0,58,0.9893,0.94,1.0,0.0,1.0,0.8902,0.0,0.1352,0.0,0.1384,47,4,49,0.9884,0.85,1.0,0.0,0.9396,0.0651,0.0639,0.9943,0.935,0.9152,0.0889,0.0871,0.9868,0.905,0.949,0.0444,0.0464,0.9894,0.9517,0.9185,0.0898,0.0866,0.9877,0.8983,0.0775,0.0384,False,0.0,0.0,0.0273,0.0023
6,100,none,1.0,1.0,1.0,0.9483,0.0,0.0547,0.0002,0.0583,38,0,62,0.993,0.94,1.0,0.0,1.0,0.9337,0.0001,0.0658,0.0022,0.0738,38,3,59,0.9855,0.93,1.0,0.0,1.0,0.895,0.0,0.0918,0.0,0.0986,37,0,63,0.9914,0.91,1.0,0.0,1.0,0.9344,0.0,0.0898,0.0,0.0984,41,4,55,0.9884,0.89,1.0,0.0,0.9409,0.0642,0.0626,0.9941,0.9357,0.9179,0.0867,0.084,0.9866,0.9086,0.9413,0.0521,0.0529,0.9897,0.9457,0.9207,0.091,0.087,0.9878,0.8971,0.0842,0.0422,False,0.0,0.0,0.0292,0.0018
7,100,none,1.0,1.0,1.0,0.9415,0.0,0.0782,0.0002,0.0767,37,0,63,0.9967,0.92,1.0,0.0,1.0,0.9312,0.0,0.0899,0.0015,0.0973,35,2,63,0.989,0.9,1.0,0.0,1.0,0.8921,0.0,0.1076,0.0,0.1014,36,0,64,0.9914,0.89,1.0,0.0,1.0,0.8796,0.0,0.1306,0.0,0.1345,39,2,59,0.9945,0.86,1.0,0.0,0.941,0.0657,0.0646,0.9944,0.9338,0.9195,0.088,0.0848,0.9869,0.9075,0.9351,0.0583,0.0597,0.9899,0.9388,0.9156,0.0965,0.0925,0.9886,0.8925,0.0779,0.0388,False,0.0,0.0,0.0321,0.001
8,100,none,1.0,1.0,1.0,0.9406,0.0,0.0793,0.0006,0.0825,35,0,65,0.9925,0.91,1.0,0.0,0.9979,0.913,0.0093,0.1123,0.0077,0.1243,37,3,60,0.9824,0.88,1.0,0.0,1.0,0.9323,0.0,0.0748,0.0,0.0754,35,1,64,0.9875,0.92,1.0,0.0,1.0,0.9257,0.0007,0.0912,0.0027,0.0991,39,4,57,0.9891,0.89,1.0,0.0,0.9409,0.0676,0.0662,0.9942,0.9311,0.9188,0.0921,0.0878,0.9864,0.9044,0.9348,0.0602,0.0614,0.9897,0.9367,0.9167,0.0968,0.0923,0.9887,0.8922,0.1245,0.0624,False,0.0,0.0,0.0357,0.0004
9,100,none,1.0,1.0,1.0,0.9002,0.0099,0.1068,0.01,0.1001,27,0,73,0.9887,0.89,1.0,0.0,1.0,0.8777,0.0128,0.1296,0.0136,0.1317,31,1,68,0.9894,0.87,1.0,0.0,0.9998,0.9287,0.0066,0.0679,0.0057,0.0564,26,0,74,0.9764,0.92,1.0,0.0,1.0,0.8634,0.0007,0.1425,0.0027,0.1509,32,7,61,0.9809,0.83,1.0,0.0,0.9368,0.0708,0.0703,0.9936,0.927,0.9147,0.096,0.092,0.9867,0.901,0.9342,0.0598,0.062,0.9883,0.935,0.9114,0.1022,0.0973,0.9879,0.886,0.0792,0.04,False,0.0,0.0,0.0422,0.0003
