test_type,level,accuracy,balanced_accuracy,roc_auc,pr_auc,f1_unstable,precision_unstable,recall_unstable,brier_score,log_loss,ece,tn,fp,fn,tp,band_count,flip_rate,mean_auc,std_auc,min_auc
noise_hybrid,0.0,0.9995,0.9993,1.0,1.0,0.9996,0.9992,1.0,0.0003,0.0014,0.0005,4338.0,6.0,0.0,7656.0,,,,,
noise_svm,0.0,0.9992,0.999,0.9999,1.0,0.9993,0.9991,0.9996,0.0008,0.0048,0.0021,4337.0,7.0,3.0,7653.0,,,,,
noise_rf,0.0,0.9995,0.9993,1.0,1.0,0.9996,0.9992,1.0,0.0004,0.0013,0.0001,4338.0,6.0,0.0,7656.0,,,,,
noise_lgbm,0.0,0.9998,0.9998,1.0,1.0,0.9998,1.0,0.9996,0.0002,0.0004,0.0001,4344.0,0.0,3.0,7653.0,,,,,
noise_hybrid,0.01,0.9991,0.9988,1.0,1.0,0.9993,0.9987,0.9999,0.0006,0.0027,0.0006,4334.0,10.0,1.0,7655.0,,,,,
noise_svm,0.01,0.9989,0.9988,0.9999,1.0,0.9992,0.999,0.9993,0.0012,0.0068,0.0028,4336.0,8.0,5.0,7651.0,,,,,
noise_rf,0.01,0.9991,0.9988,0.9998,0.9998,0.9993,0.9987,0.9999,0.001,0.0091,0.0013,4334.0,10.0,1.0,7655.0,,,,,
noise_lgbm,0.01,0.9912,0.9931,0.9996,0.9997,0.9931,0.9999,0.9864,0.005,0.0265,0.007,4343.0,1.0,104.0,7552.0,,,,,
noise_hybrid,0.03,0.9958,0.9949,0.9998,0.9999,0.9967,0.9952,0.9983,0.0032,0.013,0.003,4307.0,37.0,13.0,7643.0,,,,,
noise_svm,0.03,0.9935,0.993,0.9996,0.9998,0.9949,0.995,0.9948,0.0058,0.0239,0.0026,4306.0,38.0,40.0,7616.0,,,,,
noise_rf,0.03,0.9958,0.9948,0.9989,0.9991,0.9967,0.9951,0.9983,0.004,0.052,0.0036,4306.0,38.0,13.0,7643.0,,,,,
noise_lgbm,0.03,0.9787,0.9832,0.9979,0.9984,0.983,0.9999,0.9667,0.0127,0.1158,0.0166,4343.0,1.0,255.0,7401.0,,,,,
noise_hybrid,0.05,0.9899,0.9875,0.9995,0.9998,0.9921,0.9881,0.9962,0.0079,0.0334,0.0074,4252.0,92.0,29.0,7627.0,,,,,
noise_svm,0.05,0.9814,0.9805,0.9984,0.9991,0.9854,0.987,0.9838,0.0149,0.0649,0.0112,4245.0,99.0,124.0,7532.0,,,,,
noise_rf,0.05,0.9896,0.9871,0.9976,0.9981,0.9919,0.9876,0.9962,0.0087,0.1041,0.0034,4248.0,96.0,29.0,7627.0,,,,,
noise_lgbm,0.05,0.9692,0.9758,0.9963,0.9973,0.9752,0.9999,0.9518,0.0189,0.1956,0.0234,4343.0,1.0,369.0,7287.0,,,,,
noise_hybrid,0.1,0.9711,0.9664,0.9947,0.9971,0.9775,0.9716,0.9834,0.024,0.1152,0.0226,4124.0,220.0,127.0,7529.0,,,,,
noise_svm,0.1,0.9573,0.9543,0.9914,0.9953,0.9665,0.9677,0.9654,0.0377,0.2849,0.0347,4097.0,247.0,265.0,7391.0,,,,,
